Name	Location	Rank	Tuition and fees	Undergrad Enrollment
University of Alaska--Fairbanks	Fairbanks, AK	202.0	22469.0	7610.0
University of North Carolina--Charlotte	Charlotte, NC	202.0	20193.0	22732.0
University of North Dakota	Grand Forks, ND	202.0	18899.0	11577.0
University of South Dakota	Vermillion, SD	202.0	11688.0	7435.0
East Carolina University	Greenville, NC	210.0	22904.0	23039.0
Montana State University	Bozeman, MT	210.0	23042.0	13707.0
Old Dominion University	Norfolk, VA	210.0	27028.0	20101.0
University of Missouri--Kansas City	Kansas City, MO	210.0	22714.0	11253.0
Ashland University	Ashland, OH	214.0	20392.0	3716.0
Dallas Baptist University	Dallas, TX	214.0	26180.0	3315.0
Northern Illinois University	DeKalb, IL	214.0	23799.0	15027.0
Nova Southeastern University	Ft. Lauderdale, FL	214.0	27660.0	4641.0
Southern Illinois University--Carbondale	Carbondale, IL	214.0	27130.0	13031.0
University of Montana	Missoula, MT	214.0	24562.0	8732.0
Benedictine University	Lisle, IL	220.0	32170.0	3347.0
California State University--Fresno	Fresno, CA	220.0	17209.0	21482.0
Gardner-Webb University	Boiling Springs, NC	220.0	29850.0	2615.0
New Mexico State University	Las Cruces, NM	220.0	21234.0	12526.0
Shenandoah University	Winchester, VA	220.0	31322.0	2010.0
Tennessee Technological University	Cookeville, TN	220.0	24800.0	9801.0
University of Massachusetts--Boston	Boston, MA	220.0	32023.0	12949.0
University of Massachusetts--Dartmouth	North Dartmouth, MA	220.0	19270.0	7295.0
University of Missouri--St. Louis	St. Louis, MO	220.0	26277.0	13569.0
University of North Carolina--Greensboro	Greensboro, NC	220.0	21595.0	15951.0
University of Southern Mississippi	Hattiesburg, MS	220.0	16094.0	11840.0
Utah State University	Logan, UT	220.0	19772.0	25259.0
